temperature,pressure,flow_rate,valve_position,power_output,timestamp
442.12,4.0,2.99,50.0,151.05,1771519003.639
442.12,4.0,2.99,50.0,151.05,1771519003.639
442.12,4.0,2.99,50.0,151.05,1771519003.639
442.12,4.0,2.99,50.0,151.05,1771519003.639
442.12,4.0,2.99,50.0,151.05,1771519003.639
453.53,4.07,2.95,48.71,150.0,1771519004.654
453.53,4.07,2.95,48.71,150.0,1771519004.654
453.53,4.07,2.95,48.71,150.0,1771519004.654
453.53,4.07,2.95,48.71,150.0,1771519004.654
453.53,4.07,2.95,48.71,150.0,1771519004.654
438.53,4.05,3.02,47.55,151.78,1771519005.657
438.53,4.05,3.02,47.55,151.78,1771519005.657
438.53,4.05,3.02,47.55,151.78,1771519005.657
438.53,4.05,3.02,47.55,151.78,1771519005.657
441.77,4.0,2.93,46.51,152.27,1771519006.673
441.77,4.0,2.93,46.51,152.27,1771519006.673
441.77,4.0,2.93,46.51,152.27,1771519006.673
441.77,4.0,2.93,46.51,152.27,1771519006.673
441.77,4.0,2.93,46.51,152.27,1771519006.673
451.84,4.08,3.01,45.57,150.24,1771519007.688
451.84,4.08,3.01,45.57,150.24,1771519007.688
451.84,4.08,3.01,45.57,150.24,1771519007.688
451.84,4.08,3.01,45.57,150.24,1771519007.688
451.84,4.08,3.01,45.57,150.24,1771519007.688
446.57,4.06,2.97,44.73,152.51,1771519008.688
446.57,4.06,2.97,44.73,152.51,1771519008.688
446.57,4.06,2.97,44.73,152.51,1771519008.688
446.57,4.06,2.97,44.73,152.51,1771519008.688
446.01,4.04,2.93,43.96,150.54,1771519009.705
446.01,4.04,2.93,43.96,150.54,1771519009.705
446.01,4.04,2.93,43.96,150.54,1771519009.705
446.01,4.04,2.93,43.96,150.54,1771519009.705
446.01,4.04,2.93,43.96,150.54,1771519009.705
435.11,4.02,3.01,43.28,152.6,1771519010.722
435.11,4.02,3.01,43.28,152.6,1771519010.722
435.11,4.02,3.01,43.28,152.6,1771519010.722
435.11,4.02,3.01,43.28,152.6,1771519010.722
435.11,4.02,3.01,43.28,152.6,1771519010.722
432.73,4.08,2.97,42.66,150.0,1771519011.723
432.73,4.08,2.97,42.66,150.0,1771519011.723
432.73,4.08,2.97,42.66,150.0,1771519011.723
432.73,4.08,2.97,42.66,150.0,1771519011.723
435.74,4.08,2.9,42.11,150.47,1771519012.724
435.74,4.08,2.9,42.11,150.47,1771519012.724
435.74,4.08,2.9,42.11,150.47,1771519012.724
435.74,4.08,2.9,42.11,150.47,1771519012.724
435.74,4.08,2.9,42.11,150.47,1771519012.724
434.23,4.08,2.95,41.61,150.0,1771519013.737
434.23,4.08,2.95,41.61,150.0,1771519013.737
434.23,4.08,2.95,41.61,150.0,1771519013.737
434.23,4.08,2.95,41.61,150.0,1771519013.737
441.54,4.0,2.91,41.58,151.8,1771519014.74
441.54,4.0,2.91,41.58,151.8,1771519014.74
441.54,4.0,2.91,41.58,151.8,1771519014.74
441.54,4.0,2.91,41.58,151.8,1771519014.74
441.54,4.0,2.91,41.58,151.8,1771519014.74
441.85,4.0,2.98,41.55,150.0,1771519015.741
441.85,4.0,2.98,41.55,150.0,1771519015.741
441.85,4.0,2.98,41.55,150.0,1771519015.741
441.85,4.0,2.98,41.55,150.0,1771519015.741
441.85,4.0,2.98,41.55,150.0,1771519015.741
441.95,4.0,2.96,41.52,150.46,1771519016.753
441.95,4.0,2.96,41.52,150.46,1771519016.753
441.95,4.0,2.96,41.52,150.46,1771519016.753
441.95,4.0,2.96,41.52,150.46,1771519016.753
440.99,4.0,2.95,41.49,150.0,1771519017.754
